nama_provinsi;luas_panen;produksi
Prov. D I Yogyakarta;62539;65893
Prov. Jawa Timur;180557;216474
Prov. Banten;12971;19782
Prov. Bali;11902;15583
Prov. Nusa Tenggara Barat;28750;38615
Prov. Nusa Tenggara Timur;18396;22465
Prov. Kalimantan Barat;1929;2107
Prov. Kalimantan Tengah;1225;1365
Prov. Kalimantan Selatan;13051;15221
Prov. Kalimantan Timur;2294;2547
Prov. Sulawesi Utara;6450;8493
Prov. Sulawesi Tengah;6207;10225
Prov. Sulawesi Selatan;25785;32331
Prov. Sulawesi Tenggara;5999;5089
Prov. Gorontalo;1646;1655
Prov. Sulawesi Barat;711;1001
Prov. Maluku;2618;3133
Prov. Maluku Utara;2766;3181
Prov. Papua Barat;729;751
Prov. Papua;2408;2464
Prov. Nanggroe Aceh Darussalam;5579;7063
Prov. Sumatera Utara;14520;16449
Prov. Sumatera Barat;7280;9162
Prov. Riau;2188;2007
Prov. Jambi;1468;1782
Prov. Sumatera Selatan;4632;6109
Prov. Bengkulu;7030;7253
Prov. Lampung;13967;17617
Prov. Kepulauan Bangka Belitung;360;358
Prov. Kepulauan Riau;156;144
Prov. DKI Jakarta;9;10
Prov. Jawa Barat;67901;99058
Prov. Jawa Tengah;119565;161222
Prov. D I Yogyakarta;58780;58918
Prov. Jawa Timur;172550;207796
Prov. Banten;13862;20381
Prov. Bali;10397;11582
Prov. Nusa Tenggara Barat;25044;33666
Prov. Nusa Tenggara Timur;16574;20069
Prov. Kalimantan Barat;1863;2125
Prov. Kalimantan Tengah;924;1032
Prov. Kalimantan Selatan;12270;14445
Prov. Kalimantan Timur;2091;2468
Prov. Sulawesi Utara;6611;8671
Prov. Sulawesi Tengah;5071;8424
Prov. Sulawesi Selatan;30528;41898
Prov. Sulawesi Tenggara;6918;4942
Prov. Gorontalo;1873;2261
Prov. Sulawesi Barat;1439;2022
Prov. Maluku;2454;2950
Prov. Maluku Utara;3682;4235
Prov. Papua Barat;540;568
Prov. Papua;2437;2541
Prov. Nanggroe Aceh Darussalam;4999;6172
Prov. Sumatera Utara;10773;11093
Prov. Sumatera Barat;7891;11908
Prov. Riau;1819;1692
Prov. Jambi;1315;1680
Prov. Sumatera Selatan;3046;3960
Prov. Bengkulu;6384;6444
Prov. Lampung;10148;12911
Prov. Kepulauan Bangka Belitung;342;339
Prov. Kepulauan Riau;155;143
Prov. DKI Jakarta;7;7
